raw_id,source,event_date,date_header,section,entry_type,text,source_url,scraped_at,Keyword_score,
wt_0380,wikipedia_timeline,7/14/2026,14-Jul,,li,"Iran claimed that it destroyed Patriot radar, American air control radar and early warning radar in Bahrain. Iran also stated that it aimed at an American airbase in Jordan using its ballistic missiles, urging Jordanians to dismantle US bases in their nation. ""You know very well that not only do we ⁠not have any enmity with your country, but ‌we ⁠also love you, ‌the noble people, who understand the pain and ⁠oppression of the Palestinian people more than any other nation,"" ‌the statement stated. Iranian media reported that the country saved a tanker's non-Iranian crew after collision of vessels in the strait. British military stated that an ""unknown projectile"" hit an oil tanker off Omani coast in the vicinity of the strait. Fars News reported that overnight American attacks in Hormozgan province killed three people. Trump cancelled plans to impose fees in the strait. The IMO said that death toll from Hormuz ship attacks on that day increased to two.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#14_July,2026-07-17T02:45:35,3,
wt_0022,wikipedia_timeline,3/1/2026,1-Mar,Iranian attacks,p,"During drone operations in the Strait of Hormuz, the port of Duqm in Oman was reportedly hit by two drones, injuring one expatriate worker. Oman's Maritime Security Centre confirmed that an oil tanker which was Palau -flagged, named Skylight , had been targeted 5 nautical miles (9.3 km) north of the port of Khasab , causing four injuries amongst the Indian-Iranian crew present on the vessel. The Marshall Islands -flagged tanker MKD VYOM was damaged after being struck off the coast of Oman, killing one crew member. As a result of the conflict and higher risk to ships, 150 freight ships, including many oil tankers, stalled behind the strait.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#1_March,2026-07-17T02:45:35,2,
wt_0039,wikipedia_timeline,3/2/2026,2-Mar,Iranian attacks,p,The IRGC claimed a drone strike on the Honduras-flagged tanker Athe Nova in the Strait of Hormuz.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#2_March,2026-07-17T02:45:35,2,
wt_0063,wikipedia_timeline,3/4/2026,4-Mar,Iranian attacks,p,IRGCN NEDSA Navy stated they blew up 10 commercial vessels that were attempting to travel through the Strait of Hormuz ; one other vessel was hit by bomb near Port Muscat city.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#4_March,2026-07-17T02:45:35,2,
wt_0067,wikipedia_timeline,3/4/2026,4-Mar,Cyprus,p,"Hellenic Air Force F-16 fighters downed multiple Iranian Shahed drones near Cyprus . Larnaca International Airport was temporarily closed in response. Reports suggested a closure of Cypriot airspace, but it was later dismissed as false by the Cypriot government. A ballistic missile was intercepted by NATO forces in Turkey in Dörtyol , Hatay Province , with a statement after interception stating that Turkey reserved the right to defend its territory and that the ordnance had fallen in its territory. No casualties were reported by the statement. A senior US military official said that it had been shot down by an SM-3 interceptor launched from USS Oscar Austin . An anonymous Turkish official stated that the missile was directed towards ""Greek Cyprus"". Non-essential American workers in Cyprus were asked to evacuate the country due to the risks of a possible Iranian incursion in the future. After, the US State Department issued a travel advisory for Cyprus during the current crisis. In an emergency meeting in Rome , Prime Minister of Italy Giorgia Meloni and other Italian officials considered sending reinforcement to Cyprus after the deployment by other European nations (Greece, France, Germany and the United Kingdom), specifically considering the deployment of the destroyer Caio Duilio as a possibility (with capability up to 350 kilometers).",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#4_March,2026-07-17T02:45:35,2,
wt_0086,wikipedia_timeline,3/7/2026,7-Mar,Iranian retaliation,p,"The IRGC said that it attacked the Malta-flagged oil tanker Prima with a drone after ""ignoring repeated warnings from the IRGC Navy regarding the prohibition of traffic and the unsafe nature of the Strait of Hormuz"".",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#7_March,2026-07-17T02:45:35,2,
wt_0110,wikipedia_timeline,3/11/2026,11-Mar,Iranian strikes,p,"The bulk carrier Mayuree Naree (IMO 9323649) was hit by two missiles shortly after passing the Strait of Hormuz . The vessel caught fire and most of the crew abandoned ship. Marshall Islands-flagged bulk carrier Star Gwyneth (IMO 9301031) and Japan-flagged container vessel One Majesty (IMO 9424912) were also reported to have been damaged by unknown projectiles in the vicinity of the Strait. The spokesperson of the Iraqi armed forces, Lieutenant General Saad Maan , said that two foreign vessels were hit near the port of Al-Faw , one person was killed while 35 people were rescued.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#11_March,2026-07-17T02:45:35,2,
wt_0125,wikipedia_timeline,3/14/2026,14-Mar,Iranian strikes,p,"Indian tankers Shivalik and Nanda Devi , carrying a combined 92,700 metric tons of liquefied natural gas , pass safely through the Strait of Hormuz after talks between foreign minister of India Subrahmanyam Jaishankar and foreign minister of Iran Abbas Araghchi .",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#14_March,2026-07-17T02:45:35,2,
wt_0135,wikipedia_timeline,3/16/2026,16-Mar,Other items,li,Tehran said the Strait of Hormuz is open to all except the US and its allies.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#16_March,2026-07-17T02:45:35,2,
wt_0196,wikipedia_timeline,3/28/2026,28-Mar,,li,"Iranian president Masoud Pezeshkian reportedly clashed with IRGC chief-commander Ahmad Vahidi over how the war was being conducted; he also warned that without a ceasefire, Iran's economy could collapse within three to four weeks. He criticized the IRGC's attacks on neighboring countries and called for restoration of executive powers to the civilian government.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#28_March,2026-07-17T02:45:35,2,
wt_0199,wikipedia_timeline,3/28/2026,28-Mar,,li,"The British navy sends the RFA Lyme Bay , an amphibius ship fitted with mine-hunting drones to the Straits of Hormuz.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#28_March,2026-07-17T02:45:35,2,
wt_0200,wikipedia_timeline,3/28/2026,28-Mar,,li,Iran agreed to allow 20 more Pakistani-flagged ships to transit Strait of Hormuz; Islamabad confirmed it.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#28_March,2026-07-17T02:45:35,2,
wt_0251,wikipedia_timeline,4/3/2026,3-Apr,,li,"A US A-10 Warthog crashed into the Persian Gulf , near the Strait of Hormuz . The pilot was rescued. [ needs update ]",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#3_April,2026-07-17T02:45:35,2,
wt_0261,wikipedia_timeline,4/4/2026,4-Apr,,li,"Iran claimed that it struck the container ship MSC Ishyka with a drone in the Strait of Hormuz, alleging that it was linked to Israel. The attack was not independently verified.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#4_April,2026-07-17T02:45:35,2,
wt_0310,wikipedia_timeline,4/15/2026,15-Apr,,li,Donald Trump declared he is permanently opening the Strait of Hormuz.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#15_April,2026-07-17T02:45:35,2,
wt_0313,wikipedia_timeline,4/18/2026,18-Apr,,li,Iran said that it reasserted control of Hormuz as a result of the US refusing to lift its naval blockade .,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#18_April,2026-07-17T02:45:35,2,
wt_0314,wikipedia_timeline,4/18/2026,18-Apr,,li,UKMTO reported two Iranian gunboats opened fire on a tanker that tried to pass through the Strait of Hormuz.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#18_April,2026-07-17T02:45:35,2,
wt_0319,wikipedia_timeline,4/22/2026,22-Apr,,li,"Iranian Revolutionary Guards gunboats engaged three container vessels, the Epaminodes (IMO 9153862), Euphoria (IMO 9235828) and MSC-Francesca (IMO 9401116) in the Strait of Hormuz. Epaminodes and MSC-Francesca were seized and escorted to the coast of Iran, claiming safety violations. Euphoria reported heavy damage to the bridge by gun and rocketfire from Iranian gunboats.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#22_April,2026-07-17T02:45:35,2,
wt_0324,wikipedia_timeline,5/3/2026,3-May,,li,Trump announced that the US will help free up ships in the Strait of Hormuz beginning the next morning.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#3_May,2026-07-17T02:45:35,2,
wt_0325,wikipedia_timeline,5/4/2026,4-May,,li,"US Central Command announced two US-flagged ships, coming from the Gulf, passed the Strait of Hormuz unchallenged, while two US warships passed from the east.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#4_May,2026-07-17T02:45:35,2,
wt_0326,wikipedia_timeline,5/4/2026,4-May,,li,"Two civilian ship reported attacks near the Strait of Hormuz, South Korean container vessel HMM Namu was damaged near Umm Al Quwain , while a tanker reported an incident near Dubai.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#4_May,2026-07-17T02:45:35,2,
wt_0327,wikipedia_timeline,5/4/2026,4-May,,li,Iranian state media claimed that the Iran's navy launched two missiles and hit an US naval frigate in the Strait of Hormuz. US Central Command denied that the projectiles struck the vessel.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#4_May,2026-07-17T02:45:35,2,
wt_0328,wikipedia_timeline,5/4/2026,4-May,,li,American forces reportedly destroyed six or seven small Iranian boats in the Strait of Hormuz during a clash. The boats were destroyed after they allegedly tried to interfere with the transit of two US flagged commercial vessels and two Navy destroyer vessels ( USS Truxtun and USS Mason ).,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#4_May,2026-07-17T02:45:35,2,
wt_0329,wikipedia_timeline,5/4/2026,4-May,,li,"UAE officials state that Iran attacked the oil Industry Zone in the port of Fujairah with drones, setting several storage tanks on fire and injuring several workers. Four missiles were also launched by Iran according to the UAE, but those were destroyed. The Fujairah port is used to export oil without having to use the Strait of Hormuz. Omani officials also reported Iranian strikes in their territory.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#4_May,2026-07-17T02:45:35,2,
wt_0331,wikipedia_timeline,5/5/2026,5-May,,li,"The CMA CGM line stated that one of their freighters, CMA GGM San Antonio , was attacked in the Strait of Hormuz late on 5 May. Several crewmembers were injured and were evacuated for treatment.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#5_May,2026-07-17T02:45:35,2,
wt_0358,wikipedia_timeline,6/7/2026,7-Jun,,li,"Israeli forces did strike the southern suburbs of Lebanon's capital Beirut. Lebanese ⁠state media said that an Israeli strike in the southern suburbs of Beirut killed two people and wounded 11 others. The IDF said that it targeted Hezbollah infrastructure after the group fired towards northern Israel. The same day, Iran said that American bases and Israeli assets in Middle East are legitimate targets due to the American naval blockade against the country and Israeli strikes on Beirut 's southern suburbs, where neighborhoods that Hezbollah members live in are located. Iran later launched ballistic missiles towards Israel. Israel said that it downed all the missiles. Iran said that it targeted Ramat David Airbase . Israel said that it will retaliate ""forcefully"" to the alleged Iranian violation of the truce. The next day, the IDF announced that it struck military sites in central and western Iran, with explosions being reported in Tehran, Isfahan, and Tabriz. This triggered an exchange of strikes between the two countries. The Houthis also joined the strikes. Two Iranian soldiers were killed in an Israeli attack. Iran later says that it had ceased military actions against Israel. Israel later announces that it stopped Iran strikes at President Trump's request.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#7_June,2026-07-17T02:45:35,2,
wt_0364,wikipedia_timeline,6/10/2026,10-Jun,,li,"Drinking water facilities in Bemani , near the Strait of Hormuz, were damaged amid precision US strikes near the Strait. A local official reported that some 20,000 people lost access to water.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#10_June,2026-07-17T02:45:35,2,
wt_0368,wikipedia_timeline,6/21/2026,21-Jun,,li,The first talks between the U.S and Iran since the signing of the Islamabad Memorandum are held at the Bürgenstock Resort in Switzerland . The talks were mediated by Pakistan and Qatar .,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#21_June,2026-07-17T02:45:35,2,
wt_0370,wikipedia_timeline,6/26/2026,26-Jun,,li,"Trump accused Iran of violating the truce with US by launching drone attacks on ships in the Hormuz. CENTCOM later announced that in retaliation to the alleged truce violations, the US hit Iranian missile and drone storage facilities, as well as coastal radar stations. Iran later stated it targeted American sites in the Gulf region in response to the attack.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#26_June,2026-07-17T02:45:35,2,
wt_0375,wikipedia_timeline,7/8/2026,8-Jul,,li,"The US Central Command announced that the US struck over 80 Iranian targets including air defense systems , coastal radar sites and dozens of IRGC small boats to degrade Iranian capability to disrupt international maritime trade using precision munitions in retaliation to alleged Iranian truce violations. Iran said that it shot down an American MQ-9 drone in southern Iran. On the same day, Iran announced that it targeted 85 American military targets in Bahrain, Kuwait in retaliation to alleged truce breaches. Iran later added that it targeted an American base in Bahrain. IRGC Navy announced that one of its soldiers was killed in a US drone attack. The same day, Trump declared that the MOU with Iran is ""over"" and he did not want to continue dealing with the Iranian regime, which he referred to as “sick people.” He emphasized the need to ""rid their cancer,"" advocating for early intervention akin to cutting out cancer. Trump later stated that US negotiators can continue negotiations, although he expressed pessimism about the outcome. Iranian state media announced that eight service members from the country's army were killed in American attacks, adding that they served in the air force and ⁠ navy and died because of attacks ‌in ⁠ Bandar Abbas and Bushehr . Mehr News Agency reported that the US attacks killed two Iranian fishermen. The US Central Command announced that it hit roughly 90 Iranian military targets, including air defense systems, coastal surveillance assets, missile and drone storage facilities, naval capabilities, and military logistics infrastructure along the country's coastline.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#8_July,2026-07-17T02:45:35,2,
wt_0377,wikipedia_timeline,7/11/2026,11-Jul,,li,The IRGC navy said that it closed the Strait until further notice after firing a warning shot at a vessel trying to transit through an unapproved route.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#11_July,2026-07-17T02:45:35,2,
wt_0378,wikipedia_timeline,7/12/2026,12-Jul,,li,"The US Central Command said that the Iranian attack significantly damaged a Cyprus-flagged container vessel and a crew member went missing. The Central Command added it struck roughly 140 military targets in Iran after the attack. The UAE announced interception of Iranian attacks and Qatar declared that it shot down an Iranian attack. The IRGC reported US attacks on several bases and communication towers along the country's southern coast. It claimed that Iran responded by targeting and destroying drone hangars and a command and control center at Prince Hassan Air Base . It also claimed that it struck and destroyed a fighter jet maintenance center ⁠and command and control facility at Al Udeid Air Base , destroyed logistical support centers and refueling stations for US aircraft carriers at the Duqm Port , aimed at an American communications system and radar site in Bahrain, struck and disabled another vessel ‌in the Strait and attacked a U.S. military radar facility in Kuwait. Qatar announced that three people were injured, including a child, by falling shrapnel following Iranian attacks. Oman stated that drones aimed at Musandam Governorate . The Indian Ministry of External Affairs confirmed that one Indian national went missing after one of those Iranian attacks. Semi-official media reported that a service member from the Islamic Republic of Iran Navy was killed in a US attack in Jask port . CENTCOM declared that the Strait is ""open to all vessels"" and  ""Iran does not control"" it. Iran reaffirmed its position that the Strait remains blocked to shipping, blaming ""illegal movements"" by US military. Fars News Agency reported that Iran fired three ballistic missiles at the Al Mina area in Kuwait and the firing facility of the American ATCAM missiles. Kuwait Armed Forces announced that three Kuwaiti border centers were struck in one of those Iranian attacks, causing damage, adding that an offshore drilling platform owned by the Kuwait Oil Company was struck by an Iranian drone, causing material damage and the wounding of one employee. CENTCOM announced that it conducted additional strikes on dozens of Iranian targets over attacks against vessels to further degrade the regime's capability to attack civilian sailors and commercial ships in the Strait. The US forces used suicide drone boats in combat for the first time to strike an Iranian submarine and ship maintenance facility in Bandar Abbas Naval Base.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#12_July,2026-07-17T02:45:35,2,
wt_0382,wikipedia_timeline,7/15/2026,15-Jul,,li,"The Wall Street Journal reported, citing US officials, that Trump is mulling increasing US military operations in Iran after receiving days of briefings from key aides. Options include expanding airstrikes on more targets in Iran, including energy sites; sending American soldiers to invade Kharg Island and other territories near the strait; and attacking a tunnel network at Pickaxe Mountain, a fortified facility that could be used for covert nuclear operations.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#15_July,2026-07-17T02:45:35,2,
wt_0003,wikipedia_timeline,2/28/2026,28-Feb,Israeli–US strikes,p,"At 06:35 UTC, CENTCOM announced that it ""and partner forces"" had begun airstrikes against Iran. US warships launched Tomahawk missiles , while the US Army used HIMARS launchers. Undisclosed long-range standoff weapons were also used. The US military stated that it used B-2 stealth bombers , as well as B-1 Lancers and B-52 Stratofortresses , to strike fortified ballistic missile facilities inside Iran. At 06:45 UTC, [ citation needed ] the Israeli Air Force began an unprecedented wave of decapitation strikes . Supreme Leader Ali Khamenei and several high officials (attending three meetings at his residential compound) were killed, as were members of his family. The United States Navy , United States Air Force and United States Marine Corps focused primarily on command-and-control infrastructure, missiles, UAV sites, and radar installations.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#28_February,2026-07-17T02:45:35,1,
wt_0025,wikipedia_timeline,3/1/2026,1-Mar,Iranian attacks,p,"Riyadh was again hit by direct strikes. A Saudi oil refinery was closed after being targeted by Iranian drones. Around 15:30 UTC, Saudi Arabia claimed that it had shot down missiles fired at Prince Sultan Airbase and King Khalid International Airport .",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#1_March,2026-07-17T02:45:35,1,
wt_0033,wikipedia_timeline,3/1/2026,1-Mar,Other developments,p,The spokesperson for the Iraqi prime minister condemned the assassination of Ali Khamenei and declared three days of mourning for him.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#1_March,2026-07-17T02:45:35,1,
wt_0036,wikipedia_timeline,3/2/2026,2-Mar,Iranian attacks,p,"Iran launched more strikes against the Gulf States. Explosions were reported in Dubai, Abu Dhabi, and Doha. Smoke rose from the US embassy in Kuwait , which was subsequently closed indefinitely. According to Kuwait News Agency, an oil refinery was hit by shrapnel. Iran carried out attacks targeting energy infrastructure in Qatar. Iranian drones struck Qatar's liquefied natural gas (LNG) facilities, halting production. In addition, missiles and drones were launched at sites in Qatar, including the Al Udeid Air Base and industrial facilities. Qatari forces said they intercepted many of these. US-flagged tanker Stena Imperative was hit by projectiles off Bahrain, causing a fire that was extinguished. In Bahrain, sirens had sounded across the country. Falling debris from an intercepted missile on a ""foreign ship"" in Salman industrial zone resulted in the death of a worker and serious injuries to two others. An Iranian strike targeted Mina Salman port, causing a fire. UAE officials claimed to have downed 148 Iranian drones, nine ballistic missiles, and half a dozen cruise missiles.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#2_March,2026-07-17T02:45:35,1,
