event_id,rank,date,days_since_start,event,severity,category,oil_shock,gas_lng_shock,shipping_insurance,india_direct,escalation_dir,energy_target,countries_count,est_nifty_dir,reasoning,provenance
wt_0142,11,2026-03-18,19,Iranian missiles hit Qatar's Ras Laffan (world's largest LNG complex),4,Energy Infrastructure,1,3,1,0,1,1,3,-1,Direct hit on the largest global LNG node; gas-supply shock.,manual_curated
wt_0091,12,2026-03-08,9,Israel hits Iran's oil facilities for the first time,4,Energy Infrastructure,2,1,1,0,1,1,1,-1,Opens energy-infrastructure phase; crude channel.,manual_curated
wt_0003,13,2026-02-28,1,CENTCOM begins airstrikes on Iran,4,War Initiation,2,1,2,0,1,0,2,-1,Kinetic war onset; broad risk-off + oil.,manual_curated
wt_0141,14,2026-03-18,19,South Pars gas field hit; Caspian strikes on Russia-Iran arms route,4,Energy / Great Power,1,3,1,0,1,1,3,-1,World's largest gas field struck; gas channel + Russia dimension.,manual_curated
wt_0103,15,2026-03-09,10,Shipping insurance rates for the strait up 4-6x in a week,4,Economic Transmission,2,1,3,1,1,0,1,-1,Direct freight-cost transmission to Indian import bills; purest insurance-channel signal.,manual_curated
wt_0089,16,2026-03-07,8,"Kuwait Petroleum declares force majeure, cuts oil output",4,Energy Market,3,0,1,0,1,1,1,-1,First sovereign crude-supply withdrawal; strong oil channel.,manual_curated
wt_0118,17,2026-03-12,13,UNHCR: 3 million internally displaced in Iran,4,Humanitarian,0,0,0,0,1,0,1,0,High geopolitical/humanitarian weight but near-zero direct market channel; NIFTY-neutral.,manual_curated
wt_0381,18,2026-07-15,138,Trump threatens power plants/bridges; eyes Kharg seizure; 7 vessels hit/week,4,Escalation,2,1,3,1,1,1,3,-1,Escalation + sustained shipping attacks incl. crew casualties; oil + freight channels.,manual_curated
wt_0143,19,2026-03-18,19,"IMO extraordinary session; ~20,000 seafarers stranded on 3,200 vessels",4,Humanitarian / Trade,1,1,3,1,0,0,1,-1,Trade-flow paralysis; freight channel + Indian seafarers heavily represented in Gulf crews.,manual_curated
wt_0117,20,2026-03-12,13,New Supreme Leader Mojtaba Khamenei vows to keep Hormuz closed,3,Leadership,2,2,2,0,1,0,1,-1,Signals prolonged closure; sustained oil/gas risk premium.,manual_curated
wt_0050,21,2026-03-03,4,US sinks 17-19 Iranian ships incl. a submarine,3,Military Milestone,1,0,1,0,1,0,1,-1,Naval milestone; modest market channel via escalation.,manual_curated
wt_0375,22,2026-07-08,131,US strikes 80+ Iranian targets; Iran hits 85 US targets across Gulf,3,Escalation,1,1,2,0,1,0,3,-1,Largest single-day exchange; broad Gulf spillover raises risk premium.,manual_curated
wt_0030,23,2026-03-01,2,E3 back military measures; UK approves US use of British bases,3,Great Power / Alliance,0,0,1,0,1,0,4,-1,Internationalization; mild negative via widening-conflict signal.,manual_curated
wt_0305,24,2026-04-12,44,Islamabad talks collapse (Vance/Kushner/Witkoff; Iran rejects terms),3,Diplomacy,1,1,1,0,1,0,2,-1,Failed diplomacy triggered the blockade; negative via lost off-ramp.,manual_curated
wt_0255,25,2026-04-03,35,Iran hits Emirates Global Aluminium (year-long damage),3,Supply Chain,0,0,1,0,1,1,1,-1,Non-oil industrial supply-chain hit (global aluminium); minor market channel.,manual_curated
wt_0347,26,2026-05-22,84,Qatar joins Pakistan as co-mediator of the war,3,Diplomacy / Brokerage,-1,-1,0,0,-1,0,3,1,De-escalation signal; mild positive.,manual_curated
wt_0175,27,2026-03-26,27,US deploys scatterable antitank landmines in Iran (first since 1991),3,IHL / Norms,0,0,0,0,1,0,1,0,Norms/IHL weight; negligible market channel; NIFTY-neutral.,manual_curated
wt_0369,28,2026-06-21,114,Hormuz traffic collapses to 5 ships/day (from 26),3,Chokepoint,3,2,3,0,1,0,1,-1,Measured ~80% transit collapse; concrete supply-tightening signal on India's route.,manual_curated
wt_0354,29,2026-06-01,94,Iran ends all peace talks with the US,3,Diplomacy,1,1,1,0,1,0,2,-1,Diplomatic rupture before final escalation; negative.,manual_curated
wt_0311,30,2026-04-16,48,China's FM tells Iran reopening Hormuz is 'unanimous interest',3,Great Power,-1,-1,-1,0,-1,0,2,1,Great-power pressure toward reopening; mild positive/relief signal.,manual_curated
